243.49,80.851,232.24,145.52,223,208.79,194.7,141.67,172.81,231.17,269.8,149.34,276.66,236.08,188.69,269.54,193.08,405.74,238.8,274.65,220.62,405.19,200.77,314.31,259.5,322.43,175.01,517.88,214.55,534.98
243.46,79.737,232.38,144.6,223.08,208.02,194.79,140.64,172.75,230.52,269.94,148.56,276.66,235.94,188.73,268.81,193.39,404.73,238.87,274.1,221.17,404.47,201,313.49,259.14,322.12,175.5,516.65,214.68,534.77
243.57,80.292,232.64,144.89,223.34,208.12,195.02,141,172.36,229.35,270.22,148.79,276.85,234.96,189.01,268.72,193.44,404.7,239.17,273.91,221.11,403.87,200.38,312.45,259.64,321.3,175.8,517.14,216.55,534.22
243.79,80.555,232.54,145.01,223.16,208.12,194.93,141.01,172.34,229.26,270.16,149.01,276.9,234.85,188.68,268.58,191.58,404.75,238.85,273.91,221.17,403.94,200.7,312.21,259.46,321.13,175.59,518.87,214.39,534.32
243.31,79.642,232.28,144.47,223.01,207.84,194.69,140.5,172.22,229.59,269.87,148.43,276.81,235.11,188.64,268.56,191.89,404.73,238.81,273.85,222.52,403.79,201.17,312.22,259.55,321.48,175.73,518.55,214.3,534.37
243.08,79.026,232.25,144.04,223.15,207.57,194.58,140.04,171.79,229.43,269.92,148.05,276.8,235.12,188.93,268.42,192.19,404.72,239.18,273.77,222.54,403.56,200.92,311.94,259.52,321.59,175.92,518.29,214.89,534.29
242.95,79.399,232.16,144.15,223.06,207.53,194.43,140.11,171.26,228.14,269.86,148.16,276.88,234.6,188.79,268.24,192.05,404.7,239.09,273.62,221.77,403.34,199.96,310.8,259.76,321.16,175.03,519.01,214.23,533.73
242.7,79.49,232.42,144.4,223.62,207.96,194.7,140.57,171.03,227.6,270.15,148.23,276.93,234.57,189.64,268.96,192.93,405.48,239.97,274.05,223.12,403.96,199.73,310.11,259.49,321.09,176.44,519.79,213.66,534.26
242.55,79.127,232.6,144.37,223.97,208.08,194.87,140.68,171.41,227.14,270.3,148.06,277.37,234.15,190.18,269.33,191.96,405.92,240.52,274.25,222.08,403.76,199.33,309.99,259.52,320.59,179.48,520.1,212.64,534.18
242.14,78.373,232.06,143.95,223.48,207.88,194.22,139.97,171.93,226.79,269.87,147.93,278.09,233.81,189.7,269.17,190.65,405.83,240.14,274.46,220.16,403.2,199.37,309.8,258.63,319.73,179.31,520.15,212.14,533.9
241.94,76.728,231.78,142.43,223.35,206.33,193.97,138.63,172.22,227.37,269.59,146.24,277.64,234.35,189.65,267.69,190.74,404.5,240.1,272.76,220.64,401.26,199.56,310.29,257.8,320.14,180.11,520.14,210.52,531.61
